ID,Lat,Lon,DetCov1,Elevation,Depth,Length,Width,Area,,,Wetland Type,Other,Beaver Influenced,NOTES
10757,39.96429,-105.09127,,1598,2.00,321.87,,3944.70,Pond,Permanent,Artificial,2010,N/A,
10757,39.96429,-105.09127,,1598,5.00,261.00,,3651.00,Pond,Permanent,Artificial,2011,N/A,
10757,39.96429,-105.09127,,1598,1.30,254.00,,3635.00,Pond,Permanent,Artificial,2011,N/A,
12765,39.934759,-105.091536,,1659,,,,,Pond,Permanent,Artificial,2007,N/A,
2231,39.55835,-105.09255,,1700,2.50,724.20,,9778.40,Pond,Permanent,Artificial,2010,N/A,
CO-BAKU,40.05505,-105.09412,,1539,2.00,,,1168.00,Pond,Permanent,Artificial,2009,N/A,
CO-BAKU,40.05505,-105.09412,,1539,,,,1050.00,Pond,Permanent,Artificial,2009,N/A,
12688,39.941656,-105.094387,,1619,1.00,,,1605.00,Pond,Temporary,Other,2008,N/A,
CO-9214,39.842749,-105.100058,,1600,0.70,,,1505.00,,Permanent,,2007,N/A,
CO-9257,39.841225,-105.101092,,1685,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-9257,39.841225,-105.101092,,1685,2.00,,,,Pond,Permanent,Artificial,2009,N/A,
CO-9260,39.840641,-105.101723,,,2.00,,,,Pond,Permanent,Artificial,2007,N/A,
CO-9260,39.840641,-105.101723,,,,,,,Pond,Permanent,Artificial,2009,N/A,
Buffalo,39.94187,-105.1058,,1617,1.00,772.49,,1637.70,Stream,Temporary,Artificial,2010,N/A,
CO-RAIN,39.13611,-105.10651,,2313,,,,,Pond,Permanent,Natural,2009,N/A,
BuffaloP,39.93897,-105.10809,,1617,2.00,257.50,,3273.50,Pond,Semi-permanent,Artificial,2010,N/A,
16504,40.571873,-105.108722,,1550,,,,7293.00,Pond,Permanent,Artificial,2007,N/A,
CO-GRAND,39.939196,-105.108765,,1611,,,,5466.00,Pond,Permanent,Other,2008,N/A,
9953,39.93247,-105.1092,,1620,,,,11553.00,Pond,Permanent,Artificial,2009,N/A,
CO-GREEN,39.921368,-105.109243,,1649,1.20,355.00,,5875.00,Pond,Permanent,Artificial,2011,N/A,
CO-GREEN,39.921368,-105.109243,,1649,30.00,398.00,,6164.00,Pond,Permanent,Artificial,2011,N/A,
CO-WANE,39.99474,-105.11212,,,,,,18400.00,Lake,Permanent,Artificial,2008,N/A,
